Compound name;SMILES;Total Molweight;cLogP;H-Acceptors;H-Donors;sp3-Carbon Fraction;Metabolic pathway;Bioactivity;Species;Reference
Lophotoxin;CC(=C)[C@H]1C[C@@H]([C@]23[C@H](O2)[C@@H](C[C@@]4([C@@H](O4)C5=CC(=C(C1)O5)C=O)C)OC3=O)OC(=O)C;416.425;18.087;8;0;0.59091;Terpenoids;Slow binding irreversible inhibitor of nicotinic acetylcholine receptors;Gorgonian Lophogorgia violacea;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Deoxylophotoxin ;CC(=C)[C@H]1C[C@@H](C2=C[C@@H](C[C@]3([C@@H](O3)C4=CC(=C(C1)O4)C=O)C)OC2=O)OC(=O)C;400.426;28.253;7;0;0.5;Alkaloids;In vitro inhibition of [125I]alpha-bungarotoxin binding to nicotinic acetylcholine receptor of Torpedo californica electric organ membranes;Gorgonian Lophogorgia violacea;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
13-acetoxy-11β,12β-epoxypukalide;COC(=O)C1=C2C[C@H](C[C@H](OC(C)=O)C34O[C@@H]3[C@@H](C[C@]3(C)O[C@H]3C(O2)=C1)OC4=O)C(C)=C;446.45;17.884;9;0;0.6087;Amino acids and Peptides;Not known;Gorgonian Lophogorgia violacea;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
7-acetoxy-8-hydroxylophotoxin;[H]C(=O)C1=C2C[C@H](C[C@H](OC(C)=O)C34O[C@@H]3[C@@H](C[C@](C)(O)[C@H](OC(C)=O)C(O2)=C1)OC4=O)C(C)=C;476.476;14.546;10;1;0.58333;Amino acids and Peptides;Not known;Gorgonian Lophogorgia violacea;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
3-methoxy-8-hydroxylophotoxin;[H]C(=O)C1=C\C2=C\[C@@](C)(O)C[C@H]3OC(=O)C4(O[C@H]34)[C@H](C[C@@H](C[C@@]1(OC)O2)C(C)=C)OC(C)=O;448.466;921;9;1;0.6087;Alkaloids;Not known;Gorgonian Lophogorgia violacea;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
4-methylaaptamine;CN1C=CC2=CC(=C(C3=NC=CC1=C23)OC)OC;242.277;17.135;4;0;0.21429;Alkaloids;Antineoplasic agent;Gorgonian Lophogorgia violacea;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Prepacifenol epoxide;CC1(C2(CC(C(CC2O)(C)Cl)Br)C3(C(O3)C4C1(O4)Br)C)C;444.59;35.277;3;1;1;Alkaloids;Cytotoxic effects;Aplysia dactylomela (mollusk);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Johnstonol;CC1(C23CC(C(CC2OC1(C(C4C3(O4)C)O)Br)(C)Cl)Br)C;444.59;35.277;3;1;1;Alkaloids;Not known;Aplysia dactylomela (mollusk);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Pacifidene;[H][C@]1(Br)C[C@@]23C(C[C@]1(C)Cl)O[C@]1(Br)C=C(C2=C)C31C;394.533;46.623;1;0;0.71429;?;Not known;Aplysia dactylomela (mollusk);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Pacifidene diol;[H][C@]1(Br)C[C@@]23C(C[C@]1(C)Cl)O[C@]1(Br)C=C(C2=C)C31C;394.533;46.623;1;0;0.71429;Fatty acids;Not known;Aplysia dactylomela (mollusk);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Amphitoxin;CC1=C[N+](=CC=C1)CCCCCCCCCC2=C[N+](=CC=C2)CCCCCCCCCC3=C[N+](=CC=C3)C;516.835;-30.126;0;0;0.57143;Fatty acids;Ichthyotoxic and insecticidal activity towards Xiphophorus variatus (moon fish) and Cylas formicarius elegantulus (sweet potato weevil);Amphimedon viridis (sponge);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
1,3-dimethylisoguanine;CN1C2=C(C(=N)N(C1=O)C)NC=N2;179.182;-0.7102;6;2;0.28571;Fatty acids;Cytotoxic activity against an ovarian cancer cell line ;Amphimedon viridis (sponge);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
6-methoxy-7-methyl-8-oxoguanine;COC1=C2N(C)C(=O)NC2=NC(N)=N1;195.181;-0.3286;7;2;0.28571;Amino acids and Peptides;Not known;Ascidian Symplegma rubra;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
8-oxoadenine;NC1=C2NC(=O)NC2=NC=N1;151.129;-0.9864;6;3;0;Amino acids and Peptides;Not known;Ascidian Symplegma rubra;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
3-methylxanthine;CN1C2=C(C(=O)NC1=O)NC=N2;166.14;-0.5641;6;2;0.16667;?;Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity;Ascidian Symplegma rubra;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
6-bromogranulatimide;C1=CC2=C(C=C1Br)NC3=C4C(=C5C(=C23)C(=O)NC5=O)N=CN4;355.151;24.218;6;3;0;Alkaloids;Not known;Didemnum granulatum (Didemnidae);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
 Didemnimide A;C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CN=CN4;278.27;-0.2413;6;3;0;Alkaloids;NCI human tumor cell line growth inhibition assay.;Didemnum granulatum (Didemnidae);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
 Didemnimide C;CN1C=NC=C1C2=C(C(=O)NC2=O)C3=CNC4=CC=CC=C43;292.297;-0.1085;6;2;0.0625;?;Not known;Didemnum granulatum (Didemnidae);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
 Didemnimide D;CN1C=NC=C1C2=C(C(=O)NC2=O)C3=CNC4=C3C=CC(=C4)Br;371.193;0.6167;6;2;0.0625;Alkaloids;Not known;Didemnum granulatum (Didemnidae);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
 Didemnimide E;CN1C=C(N=C1)C2=C(C(=O)NC2=O)C3=CNC4=CC=CC=C43;292.297;-0.1085;6;2;0.0625;Alkaloids;Not known;Didemnum granulatum (Didemnidae);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Homarine;[O-]S(=O)(=O)OCC[N+]1=CC=CC=C1;203.217;-6.798;4;0;0.28571;Polyketides;Not known;Sponge Aaptos;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Pyridinium betaine;C[N+]1=C(C=CC=C1)C([O-])=O;137.138;-58.018;2;0;0.14286;Terpenoids;Not known;Sponge Aaptos;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
2-(3,5-dibromo1-hydroxy-4,4-dimethoxy-2,5-cyclohexadien-1-yl)ethanamide;COC1(OC)C(Br)=CC(O)(CC(N)=O)C=C1Br;371.024;0.4208;5;2;0.5;Terpenoids;Not known;Aplysina fulva (sponge);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
3,5-Dibromo-4-hydroxyphenylacetamide;C1=C(C=C(C(=C1Br)O)Br)CC(=O)N;308.957;18.497;3;2;125;Shikimates and Phenylpropanoids;Antiproliferative activity against human PC3 cells, cytotoxicity against rat bone marrow cells ;Aplysina fulva (sponge);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Not named;CCOC1(OC)C(Br)=CC(O)(CC(N)=O)C=C1Br;385.051;0.8271;5;2;0.54545;Fatty acids;Not known;Aplysina fulva (sponge);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Not named;CCOC1(OC)C(Br)=CC(O)(CC(N)=O)C=C1Br;385.051;0.8271;5;2;0.54545;Polyketides;Not known;Aplysina fulva (sponge);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
2-(3-bromo1,6-dihydroxy-4-oxo-cyclohex-2-enyl)acetamide;[H][C@]1(O)CC(=O)C(Br)=C[C@@]1(O)CC(N)=O;264.074;-10.074;5;3;0.5;Polyketides;Not known;Aplysina fulva (sponge);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
4-hydroxy-2,6-dimethylbenzoic acid;CC1=CC(O)=CC(C)=C1C(O)=O;166.175;14.868;3;2;0.22222;Polyketides;Not known;Aplysina fulva (sponge);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Not named;COCC1=CC(Br)=C(OC)C(Br)=C1;309.984;28.706;2;0;0.33333;Polyketides;Not known;Sponge Verongula gigantea;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Not named;COCC1=CC(Br)=C(O)C(Br)=C1;295.958;25.949;2;1;0.25;Polyketides;Not known;Sponge Verongula gigantea;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Debromoverongiaquinol;NC(=O)CC1(O)C=C(Br)C(=O)C(Br)=C1;324.956;0.1196;4;2;0.25;Terpenoids;Not known;Aplysina aerophoba;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Aeroplysinin-1;COC1=C([C@@H]([C@@](C=C1Br)(CC#N)O)O)Br;338.982;0.8237;4;2;0.44444;Alkaloids;Not known;Aplysina aerophoba;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Aerothionin;COC1=C(Br)[C@H](O)[C@]2(CC(=NO2)C(=O)NCCCCNC(=O)C2=NO[C@@]3(C2)C=C(Br)C(OC)=C(Br)[C@@H]3O)C=C1Br;818.106;2.835;12;4;0.5;Amino acids and Peptides/ Polyketides;Not known;Aplysina fistularis;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Homoaerothinin;COC1=C(Br)[C@H](O)[C@]2(CC(=NO2)C(=O)NCCCCCNC(=O)C2=NO[C@@]3(C2)C=C(Br)C(OC)=C(Br)[C@@H]3O)C=C1Br;832.133;32.894;12;4;0.52;Alkaloids;Not known;Aplysina fistularis;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
dodeca-3Z,6Z,9Z-trien-1-ol;CC\C=C/C\C=C/C\C=C/CCO;180.29;38.379;1;1;0.5;Alkaloids;Not known;Botryllus giganteum (Stolidobranchia, Styelidae);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Parahydroxybenzaldehyde ;C1=CC(=CC=C1[13CH]=O)O;123.115;12.472;2;1;0;Terpenoids;Not known;Botryllus giganteum (Stolidobranchia, Styelidae);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Benzylamine;C1=CC=C(C=C1)CN;107.155;0.6645;1;1;0.14286;Terpenoids;Not known;Botryllus giganteum (Stolidobranchia, Styelidae);"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
(9-[5′-(methylthio)-β-D-xylofuranosyl]adenine (xylosyl-MTA);[H]C([H])([H])SCC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2N;297.338;-0.6637;8;3;0.54545;Terpenoids;Not known;Doris aff. verrucosa;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Tambjamine A;COC1=C(NC(=C1)C2=CC=CN2)C=N;189.217;0.4641;4;3;0.1;Terpenoids;Not known;Nudibranch Tambja eliora;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Tambjamine D;CC(C)CN=CC1=C(C=C(N1)C2=C(C=CN2)Br)OC;324.221;27.937;4;2;0.35714;Amino acids and Peptides;Not known;Nudibranch Tambja eliora;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
N-acetyl-γ-hydroxyvaline lactone;[H][C@@]1(C)COC(=O)[C@]1([H])NC(C)=O;157.168;-0.5926;4;1;0.71429;Terpenoids;Not known;Streptomyces cebimarensis;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
N-acetyltyramine ;CC(=O)NCCC1=CC=C(C=C1)O;179.218;11.571;3;2;0.3;Amino acids and Peptides;Inhibition of Plasmodium falciparum W2 (drug-resistant) proliferation in erythrocyte-based infection assay, Inhibition of human coagulation factor XIIIa;Streptomyces acrimycinin;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
